title,line,structure,longitude,latitude,id
Dwarka Sector 9,Blue Line,Elevated,28.574311,77.06524,084 
Dwarka Sector 8,Blue Line,Elevated,28.565622,77.06701,085 
Dwarka Sector 21,Blue Line,Underground,28.552125,77.05801,086 
Dwarka Sector 21,Orange Line,Underground,28.552125,77.05801,086 
Laxmi Nagar,Blue Line Branch,Elevated,28.629248,77.27527,087 
Nirman Vihar,Blue Line Branch,Elevated,28.637700,77.28894,088 
Preet Vihar,Blue Line Branch,Elevated,28.641466,77.29514,089 
Karkarduma,Blue Line Branch,Elevated,28.6483685,77.30458,090 
Anand Vihar,Blue Line Branch,Elevated,28.647328,77.31609,091 
Anand Vihar,Pink Line Branch,Elevated,28.647328,77.31609,091 
Kaushambi,Blue Line Branch,Elevated,28.645448,77.32437,092 
Vaishali,Blue Line Branch,Elevated,28.6496868,77.338424,093 
Majlis Park,Pink Line,Elevated,28.7237083,77.177561,094 
Shalimar Bagh,Pink Line,Underground,28.7019762,77.164095,095 
Netaji Subhash Place,Red Line,Elevated,28.695886,77.15245,096 
Netaji Subhash Place,Pink Line,Elevated,28.695886,77.15245,096 
Shakurpur,Pink Line,Elevated,28.6859557,77.148769,097 
Punjabi Bagh West,Pink Line,Elevated,28.6730178,77.137363,098 
Delhi Cantonment,Pink Line,Elevated,28.6092434,77.139913,102 
Sir Vishweshwaraiah Moti Bagh,Pink Line,Elevated,28.578352,77.17493,104 
Bhikaji Cama Place,Pink Line,Underground,28.5702753,77.18677,105 
Sarojini Nagar,Pink Line,Underground,28.5759184,77.197650,106 
South Extension,Pink Line,Underground,28.5686954,77.219611,107 
Lajpat Nagar,Violet Line,Elevated,28.570607,77.23647,108 
Lajpat Nagar,Pink Line,Elevated,28.570607,77.23647,108 
Vinobapuri,Pink Line,Underground,28.5659703,77.248454,109 
Ashram,Pink Line,Underground,28.5723975,77.258436,110 
Mayur Vihar Pocket 1,Pink Line,Elevated,28.605822,77.29876,112 
Mayur Vihar Pocket 1,Blue Line,Elevated,28.605822,77.29876,112 
Trilok Puri Sanjay Lake,Pink Line,Elevated,28.6136059,77.308279,113
Vinod Nagar East,Pink Line,Elevated,28.620057,77.3052,114
Mandawali,Pink Line,Elevated,28.624906,77.30441,115
IP Extension,Pink Line,Elevated,28.6318781,77.309945,116 
Karkarduma Court,Pink Line,Elevated,28.6536829,77.295738,117 
Krishna Nagar,Pink Line,Elevated,26.794386,80.89172,118 
East Azad Nagar,Pink Line,Elevated,28.6646649,77.284907,119 
Welcome,Red Line,At Grade,28.672050,77.27793,120 
Welcome,Pink Line,At Grade,28.672050,77.27793,120 
Jaffrabad,Pink Line,Elevated,28.6827381,77.274752,121 
Maujpur,Pink Line,Elevated,28.6921147,77.279685,122
Gokul Puri,Pink Line,Elevated,28.7024268,77.285985,123
Johri Enclave,Pink Line,Elevated,28.7129849,77.290148,124 
Shiv Vihar,Pink Line,Elevated,28.7214626,77.289397,125 
Shaheed Sthal,Red Line,Elevated,28.6706,77.415,126
Hindon River,Red Line,Elevated,28.673344,77.40640,127 
Arthala,Red Line,Elevated,28.6729,77.391,128 
Mohan Nagar,Red Line,Elevated,28.67848,77.38393,129 
Shyam park,Red Line,Elevated,28.678232,77.37090,130
Rajendra Nagar,Red Line,Elevated,28.677631,77.35826,131
Raj Bagh,Red Line,Elevated,28.677031,77.34657,132 
Shaheed Nagar,Red Line,Elevated,28.676632,77.33375,133 
Dilshad Garden,Red Line,Elevated,28.675556,77.32027,134 
Jhilmil,Red Line,Elevated,28.675663,77.31248,135 
Mansarovar Park,Red Line,Elevated,28.675406,77.30155,136 
Shahdara,Red Line,At Grade,28.673476,77.28992,137 
Seelampur,Red Line,At Grade,28.669824,77.26673,138 
Shastri Park,Red Line,At Grade,28.668204,77.25009,139 
Tis Hazari,Red Line,Elevated,28.667216,77.21651,140 
Pul Bangash,Red Line,Elevated,28.666251,77.20698,141 
Pratap Nagar,Red Line,Elevated,28.666698,77.19884,142 
Shastri Nagar,Red Line,Elevated,28.670134,77.18178,143 
Inderlok,Red Line,Elevated,28.673445,77.17033,144 
Inderlok,Green Line,Elevated,28.673445,77.17033,144 
Kanhiya Nagar,Red Line,Elevated,28.682437,77.16476,145
Keshav Puram,Red Line,Elevated,28.688903,77.16178,146 
Kohat Enclave,Red Line,Elevated,28.698004,77.14083,147 
Pitam Pura,Red Line,Elevated,28.703151,77.13239,148 
Rohini East,Red Line,Elevated,28.707659,77.12590,149 
